«‡¡§±∏ø™ƒ⁄µÂ,state(han),city(han),city2(han),¿ßµµ,∞Êµµ,πﬂ«•Ω√∞£,«≥«‚,«≥º”,±‚ø¬,Ω¿µµ,∞≠ºˆ∑Æ
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 00:00:00,∫œº≠,2.9,10.6,66,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 01:00:00,∫œº≠,2.1,9.8,70,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 02:00:00,∫œº≠,1.9,8.6,78,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 03:00:00,∫œº≠,1.5,7.4,88,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 04:00:00,º≠,1.6,6.3,92,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 05:00:00,º≠,2.2,5.1,92,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 06:00:00,∫œº≠,1.3,4.5,93,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 07:00:00,∫œ,0.1,6.1,94,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 08:00:00,µø,1.4,9.4,74,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 09:00:00,≥≤µø,1.3,12.6,58,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 10:00:00,º≠,3.5,14.8,31,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 11:00:00,º≠,3.7,15.6,31,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 12:00:00,º≠,3.1,17,29,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 13:00:00,º≠,3.6,17.3,26,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 14:00:00,º≠,2.6,18.1,24,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 15:00:00,º≠,3.8,18,24,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 16:00:00,º≠,3.4,17.7,26,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 17:00:00,º≠,4.2,18.1,22,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 18:00:00,∫œº≠,2.8,16.7,25,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 19:00:00,º≠,2.2,14.7,27,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 20:00:00,∫œº≠,1.4,12.7,34,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 21:00:00,º≠,1.3,12.3,34,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 22:00:00,∫œº≠,1.6,11.1,40,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-01 23:00:00,º≠,2.7,11.7,43,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 00:00:00,∫œº≠,3.9,11.7,49,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 01:00:00,º≠,2.5,10.9,57,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 02:00:00,∫œº≠,0.6,8.6,73,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 03:00:00,º≠,0.5,7.3,85,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 04:00:00,º≠,1.6,6.6,89,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 05:00:00,º≠,1.8,7.2,89,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 06:00:00,º≠,1.9,6.3,94,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 07:00:00,≥≤µø,0.4,7.2,92,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 08:00:00,µø,0.8,11,75,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 09:00:00,µø,1.4,13.1,63,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 10:00:00,º≠,2.5,15.4,39,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 11:00:00,≥≤º≠,2.5,17,32,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 12:00:00,∫œº≠,2.3,17.1,28,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 13:00:00,º≠,3.2,16.6,30,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 14:00:00,º≠,2.1,17.5,28,0
4725044000,∞ÊªÛ∫œµµ,ªÛ¡÷Ω√,¿∫√¥∏È,36.528789,128.073756,2022-05-02 15:00:00,≥≤º≠,2,17.9,28,0
