«‡¡§±∏ø™ƒ⁄µÂ,state(han),city(han),city2(han),¿ßµµ,∞Êµµ,πﬂ«•Ω√∞£,≥Øæææ∆¿Ãƒ‹,≥Øææ≈ÿΩ∫∆Æ,«≥«‚,«≥º”,±‚ø¬,Ω¿µµ,∞≠ºˆ∑Æ,¿˚º≥∑Æ,¿œ¡∂∑Æ,¿œªÁ∑Æ
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 00:00:00,4,»Â∏≤,º≠,3.7,10.5,7.4,-,-,-,-
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 01:00:00,4,»Â∏≤,º≠,3.6,10,6.6,-,-,-,-
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 02:00:00,4,»Â∏≤,º≠∫œº≠,1.6,9.1,6.6,-,-,-,-
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 03:00:00,4,»Â∏≤,º≠,1.4,8.3,7.2,-,-,-,-
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 04:00:00,4,»Â∏≤,º≠,1.5,7.1,8,-,-,-,-
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 05:00:00,4,»Â∏≤,º≠,1.9,6.6,8.5,-,-,-,-
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 06:00:00,4,»Â∏≤,≥≤µø,0.4,5.6,8.7,-,-,0,0
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 07:00:00,4,»Â∏≤,≥≤µø,0.3,7.1,8.3,-,-,7,38
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 08:00:00,4,»Â∏≤,º≠≥≤º≠,2.9,9.6,6.8,-,-,10,116
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 09:00:00,4,»Â∏≤,º≠≥≤º≠,4.4,11.5,5.2,-,-,10,199
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 10:00:00,4,»Â∏≤,º≠≥≤º≠,3.5,13.6,4,-,-,10,266
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 11:00:00,4,»Â∏≤,º≠≥≤º≠,6,14.6,3.3,-,-,10,316
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 12:00:00,4,»Â∏≤,º≠≥≤º≠,6.9,15.1,3.1,-,-,10,346
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 13:00:00,4,»Â∏≤,º≠≥≤º≠,5.4,16.2,2.7,-,-,10,361
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 14:00:00,4,»Â∏≤,∫œº≠,4.3,16.6,2.4,-,-,10,350
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 15:00:00,4,»Â∏≤,º≠,4.7,16.1,2.7,-,-,5,200
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 16:00:00,4,»Â∏≤,º≠,4.6,16.6,2.8,-,-,6,172
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 17:00:00,4,»Â∏≤,º≠,4.7,17.1,2.4,-,-,8,156
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 18:00:00,4,»Â∏≤,º≠,5.5,15.6,2.5,-,-,10,93
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 19:00:00,4,»Â∏≤,º≠,4.6,13.8,2.7,-,-,6,25
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 20:00:00,4,»Â∏≤,º≠,4,12.6,2.7,-,-,0,0
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 21:00:00,4,»Â∏≤,≥≤º≠,2.7,11.6,3,-,-,-,-
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 22:00:00,4,»Â∏≤,º≠≥≤º≠,1.9,10.8,3.4,-,-,-,-
4373034000,√Ê√ª∫œµµ,ø¡√µ±∫,√ªº∫∏È,36.324736,127.761986,2022-05-01 23:00:00,4,»Â∏≤,º≠,3.5,10.8,3,-,-,-,-
