행정구역코드,state(han),city(han),city2(han),위도,경도,발표시간,날씨아이콘,날씨텍스트,풍향,풍속,기온,습도,강수량,적설량,일조량,일사량
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 00:00:00,2,구름조금,서남서,3.0,10.9,7.4,-,-,-,-
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 01:00:00,1,맑음,서북서,2.1,10.3,6.7,-,-,-,-
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 02:00:00,1,맑음,서,2.0,9.8,6.7,-,-,-,-
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 03:00:00,1,맑음,서,2.0,9.5,6.8,-,-,-,-
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 04:00:00,1,맑음,서북서,1.0,8.6,7.3,-,-,-,-
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 05:00:00,1,맑음,서북서,0.9,8.1,7.5,-,-,-,-
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 06:00:00,1,맑음,서북서,0.8,7.9,7.8,-,-,0,1
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 07:00:00,1,맑음,서,0.8,8.5,8.0,-,-,8,35
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 08:00:00,1,맑음,서남서,1.7,11.0,6.6,-,-,10,104
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 09:00:00,1,맑음,남,1.9,13.2,5.8,-,-,10,187
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 10:00:00,1,맑음,남남서,2.3,15.3,4.9,-,-,10,253
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 11:00:00,1,맑음,서남서,4.0,17.2,2.9,-,-,10,312
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 12:00:00,1,맑음,서,6.1,17.6,2.9,-,-,10,351
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 13:00:00,1,맑음,남서,4.1,18.6,2.4,-,-,10,363
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 14:00:00,1,맑음,남남서,6.6,18.5,2.3,-,-,10,354
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 15:00:00,1,맑음,남남서,6.4,18.8,2.5,-,-,10,324
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 16:00:00,2,구름조금,남서,4.3,18.9,2.9,-,-,10,280
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 17:00:00,3,구름많음,남서,4.1,16.9,3.6,-,-,2,120
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 18:00:00,3,구름많음,서남서,3.5,15.9,3.7,-,-,0,41
1114055000,서울특별시,중구,명동,37.557236,126.987889,2022-05-01 19:00:00,4,흐림,서남서,3.9,14.6,5.0,-,-,0,15
